airlineIATACode,airlineICAOCode,airlineName,airlineName_trimmed
RF,EOK,에어로 K,에어로K
BX,ABL,에어 부산,에어부산
YP,APZ,에어 프레미아,에어프레미아
RS,ASV,에어 서울,에어서울
OZ,AAR,아시아나 항공,아시아나항공
ZE,ESR,이스타항공,이스타항공
7C,JJA,제주 항공,제주항공
LJ,JNA,진에어,진에어
KE,KAL,대한 항공,대한항공
TW,TWB,티웨이 항공,티웨이항공
KJ,AIH,에어 인천,에어인천
HD,ADO,에어 두,에어두
NH,ANA,전일본공수,전일본공수
JH,FDA,후지드림 항공,후지드림항공
JL,JAL,일본 항공,일본항공
NU,JTA,저팬 트랜스오션 에어,저팬트랜스오션에어
GK,JJP,제트스타 일본,제트스타일본
MM,APJ,피치 항공,피치항공
BC,SKY,스카이마크 항공,스카이마크항공
6J,SNJ,솔라시드 에어,솔라시드에어
7G,SFJ,스타플라이어,스타플라이어
NQ,AJX,에어재팬,에어재팬
IJ,SJO,일본 춘추 항공,일본춘추항공
ZG,TZP,집 에어,집에어
MZ,AHX,아마쿠사 항공,아마쿠사항공
EH,AKX,아나 윙즈,아나윙즈
FW,IBX,아이벡스 항공,아이벡스항공
JC,JAC,일본 항공 커뮤터,일본항공커뮤터
OC,ORC,오리엔탈 에어 브리지,오리엔탈에어브리지
NU,RAC,류큐 에어 커뮤터,류큐에어커뮤터
BV,TOK,토키 항공,토키항공