airportName,cityName,countryISO,IATACode
아구니 공항,아구니,JP,AGJ
아키타 공항,아키타,JP,AXT
아마쿠사 비행장,아마쿠사,JP,AXJ
아마미 공항,아마미,JP,ASJ
아오모리 공항,아오모리,JP,AOJ
아사히카와 공항,아사히카와,JP,AKJ
청주국제공항,청주,KR,CJJ
치치지마 공항,치치지마,JP,n/a
조후 공항,조후,JP,n/a
주부 국제공항,나고야,JP,NGO
대구국제공항,대구,KR,TAE
후쿠에 공항,후쿠에,JP,FUJ
후쿠오카 공항,후쿠오카,JP,FUK
후쿠시마 공항,후쿠시마,JP,FKS
김해국제공항,부산,KR,PUS
김포국제공항,서울,KR,GMP
군산 공항,군산,KR,KUV
광주공항,광주,KR,KWJ
하치조지마 공항,하치조지마,JP,HAC
하코다테 공항,하코다테,JP,HKD
하나마키 공항,하나마키,JP,HNA
하네다 공항,도쿄,JP,HND
히로시마 공항,히로시마,JP,HIJ
이바라키공항,이바라키,JP,IBR
이키 공항,이키,JP,IKI
인천국제공항,서울,KR,ICN
이와미 공항,이와미,JP,IWJ
이오지마 공군기지,이오지마,JP,IWO
이즈모 공항,이즈모,JP,IZO
제주국제공항,제주,KR,CJU
가데나 기지,카데나,JP,DNA
가고시마 공항,가고시마,JP,KOJ
간사이 국제공항,오사카,JP,KIX
기카이 공항,키카이,JP,KKX
기타다이토 공항,키타다이토,JP,KTD
기타큐슈 공항,기타큐슈,JP,KKJ
고베 공항,오사카,JP,UKB
고치 료마 공항,코치,JP,KCZ
고마쓰 공항,고마츠,JP,KMQ
고즈시마 공항,고즈시마,JP,n/a
구마모토 공항,구마모토,JP,KMJ
구메지마 공항,쿠메지마,JP,UEO
구시로 공항,구시로,JP,KUH
해병대 비행장 이와쿠니,이와쿠니,JP,IWK
마츠모토 공항,마츠모토,JP,MMJ
마쓰야마 공항,마츠야마,JP,MYJ
메만베쓰 공항,메만베츠,JP,MMB
미호 요나고 공항,요나고,JP,YGJ
미나미다이토 공항,미나미다이토,JP,MMD
미사와공항,미사와,JP,MSJ
미야케지마 공항,미야케지마,JP,MYE
미야코 공항,미야코지마,JP,MMY
미야자키 공항,미야자키,JP,KMI
몬베쓰 공항,몬베츠,JP,MBE
무안 국제공항,무안,KR,MWX
나가사키 공항,나가사키,JP,NGS
나고야 비행장,나고야,JP,NKM
나하 공항,오키나와,JP,OKA
나카시베쓰 공항,나카시베츠,JP,SHB
난키 시라하마 공항,시라하마,JP,SHM
나리타 국제공항,도쿄,JP,NRT
신치토세 공항,삿포로,JP,CTS
신이시가키 공항,이시가키,JP,ISG
신다네가시마 공항,다네가시마,JP,TNE
니가타 공항,니가타,JP,KIJ
노토 공항,와지마,JP,NTQ
오다테 노시로 공항,오다테노시로,JP,ONJ
오이타 공항,오이타,JP,OIT
오카다마 공항,삿포로,JP,OKD
오카야마 공항,오카야마,JP,OKJ
오키 공항,오키 섬,JP,OKI
오키노에라부 공항,오키노에라부지마,JP,OKE
오쿠시리 공항,오쿠시리,JP,OIR
오사카 국제공항,오사카,JP,ITM
오사카 야오 공항,오사카,JP,n/a
오시마 공항,오시마,JP,OIM
포항공항,포항,KR,KPO
리시리 공항,리시리,JP,RIS
사천공항,진주,KR,HIN
사도공항,사도,JP,SDS
사가공항,사거,JP,HSG
센다이 공항,센다이,JP,SDJ
서산 공군기지,서산,KR,n/a
시모지시마 공항,시모지시마,JP,SHI
시즈오카 공항,시즈오카,JP,FSZ
쇼나이 공항,쇼나이,JP,SYO
다지마 공항,도요오카,JP,TJH
다카마쓰 공항,다카마츠,JP,TAK
타라마 공항,타라마,JP,TRA
도카치 오비히로 공항,오비히로,JP,OBO
도쿠노시마 공항,도쿠노시마,JP,TKN
도쿠시마 공항,도쿠시마,JP,TKS
돗토리 공항,돗토리,JP,TTJ
도야마 공항,도야마,JP,TOY
쓰시마 공항,쓰시마,JP,TSJ
울산공항,울산,KR,USN
왓카나이 공항,왓카나이,JP,WKJ
원주공항,원주,KR,WJU
야쿠시마 공항,야쿠시마,JP,KUM
야마가타 공항,야마가타,JP,GAJ
야마구치 우베 공항,우베,JP,UBJ
양양국제공항,양양,KR,YNY
예천 공군기지,예천,KR,YEC
여수/순천공항,여수/순천,KR,RSU
요나구니 공항,요나구니,JP,OGN
요론 공항,요론지마,JP,RNJ